"","SUBJ_ID","AGE","GENDER","Major","Grade","TASK_ORDER","XP_CODING","SPSS_Time_sec","Task","Time","Motiv_4_Task","Motiv_Future_Pre","Motiv_Future_Post","Motiv_4_Future","Effort_Perceived"
"1","sub001",18.7614490772386,2,1,1,"0","1",143,"Jamovi",114,7,5,6,1,3
"2","sub001",18.7614490772386,2,1,1,"0","1",143,"R",188,7,6,5,-1,4
"3","sub002",19.7320574162679,1,8,2,"1","1",260,"Jamovi",94,6,4,7,3,3
"4","sub002",19.7320574162679,1,8,2,"1","1",260,"R",148,6,5,7,2,3
"5","sub003",18.015037593985,1,1,1,"0","0",245,"Jamovi",149,4,5,4,-1,NA
"6","sub003",18.015037593985,1,1,1,"0","0",245,"R",346,4,4,5,1,4
"7","sub004",21.5393028024607,4,9,4,"1","1",166,"Jamovi",190,10,10,10,0,1
"8","sub004",21.5393028024607,4,9,4,"1","1",166,"R",176,10,10,10,0,NA
"9","sub006",18.4333561175666,2,1,1,"1","0",292,"Jamovi",139,8,5,5,0,2
"10","sub006",18.4333561175666,2,1,1,"1","0",292,"R",318,8,5,6,1,4
"11","sub007",18.5208475734792,1,1,1,"0","0",155,"Jamovi",144,7,6,2,-4,3
"12","sub007",18.5208475734792,1,1,1,"0","0",155,"R",189,7,5,2,-3,5
"13","sub008",21.4381408065619,1,8,4,"1","1",167,"Jamovi",115,7,2,2,0,3
"14","sub008",21.4381408065619,1,8,4,"1","1",167,"R",148,7,3,2,-1,3
"15","sub009",19.6664388243336,2,8,2,"0","0",250,"Jamovi",121,5,7,7,0,4
"16","sub009",19.6664388243336,2,8,2,"0","0",250,"R",173,4,7,7,0,4
"17","sub010",21.3424470266576,2,9,4,"1","0",134,"Jamovi",102,5,5,5,0,2
"18","sub010",21.3424470266576,2,9,4,"1","0",134,"R",167,5,7,5,-2,2
"19","sub011",22.5372522214628,1,6,3,"0","0",192,"Jamovi",100,7,6,6,0,2
"20","sub011",22.5372522214628,1,6,3,"0","0",192,"R",177,8,7,6,-1,3
"21","sub012",17.8318523581681,2,1,1,"1","0",191,"Jamovi",121,8,8,7,-1,2
"22","sub012",17.8318523581681,2,1,1,"1","0",191,"R",348,7,8,7,-1,3
"23","sub013",17.9767600820232,2,1,1,"0","0",207,"Jamovi",163,9,3,2,-1,2
"24","sub013",17.9767600820232,2,1,1,"0","0",207,"R",331,9,3,3,0,3
"25","sub015",18.8926862611073,2,1,1,"0","0",166,"Jamovi",128,6,5,4,-1,5
"26","sub015",18.8926862611073,2,1,1,"0","0",166,"R",421,6,5,4,-1,7
"27","sub016",21.2248803827751,1,8,3,"1","0",135,"Jamovi",124,NA,NA,NA,NA,4
"28","sub016",21.2248803827751,1,8,3,"1","0",135,"R",161,6,10,10,0,NA
"29","sub017",18.2611073137389,2,1,1,"0","0",212,"Jamovi",149,10,10,10,0,NA
"30","sub017",18.2611073137389,2,1,1,"0","0",212,"R",313,10,10,10,0,3
"31","sub018",21.0991114149009,1,1,3,"1","0",182,"Jamovi",121,2,1,1,0,2
"32","sub018",21.0991114149009,1,1,3,"1","0",182,"R",251,2,1,2,1,4
"33","sub019",18.3458646616541,2,1,1,"0","1",268,"Jamovi",173,6,6,6,0,4
"34","sub019",18.3458646616541,2,1,1,"0","1",268,"R",210,7,6,7,1,3
"35","sub020",19.784005468216,2,1,1,"1","0",166,"Jamovi",100,10,6,9,3,7
"36","sub020",19.784005468216,2,1,1,"1","0",166,"R",228,10,6,6,0,8
"37","sub021",19.9425837320574,1,8,3,"0","0",132,"Jamovi",73,6,6,5,-1,NA
"38","sub021",19.9425837320574,1,8,3,"0","0",132,"R",144,6,7,5,-2,NA
"39","sub022",19.5406698564593,2,4,2,"1","0",201,"Jamovi",152,6,6,6,0,NA
"40","sub022",19.5406698564593,2,4,2,"1","0",201,"R",236,6,8,5,-3,NA
"41","sub023",19.6719070403281,2,1,2,"0","1",183,"Jamovi",123,3,4,4,0,2
"42","sub023",19.6719070403281,2,1,2,"0","1",183,"R",274,5,3,4,1,5
"43","sub024",18.5700615174299,1,1,1,"1","0",171,"Jamovi",144,4,2,2,0,3
"44","sub024",18.5700615174299,1,1,1,"1","0",171,"R",205,4,4,3,-1,2
"45","sub025",18.272043745728,2,1,1,"0","0",224,"Jamovi",110,7,7,7,0,3
"46","sub025",18.272043745728,2,1,1,"0","0",224,"R",232,7,7,7,0,4
"47","sub026",21.758031442242,2,8,3,"1","0",183,"Jamovi",126,8,8,8,0,4
"48","sub026",21.758031442242,2,8,3,"1","0",183,"R",265,8,8,8,0,6
"49","sub027",18.0751879699248,3,1,1,"0","1",186,"Jamovi",146,5,7,8,1,3
"50","sub027",18.0751879699248,3,1,1,"0","1",186,"R",217,5,7,7,0,3
"51","sub028",18.663021189337,2,1,1,"1","0",217,"Jamovi",144,8,6,5,-1,4
"52","sub028",18.663021189337,2,1,1,"1","0",217,"R",213,8,7,7,0,2
"53","sub029",17.8974709501025,2,1,1,"0","0",188,"Jamovi",116,7,2,2,0,3
"54","sub029",17.8974709501025,2,1,1,"0","0",188,"R",196,7,3,2,-1,6
"55","sub030",18.4142173615858,2,1,1,"1","0",177,"Jamovi",107,9,5,5,0,4
"56","sub030",18.4142173615858,2,1,1,"1","0",177,"R",225,8,5,6,1,4
"57","sub031",19.1578947368421,1,3,3,"0","1",195,"Jamovi",146,5,4,7,3,2
"58","sub031",19.1578947368421,1,3,3,"0","1",195,"R",202,4,6,6,0,2
"59","sub032",18.5345181134655,2,1,1,"1","1",476,"Jamovi",112,8,5,6,1,2
"60","sub032",18.5345181134655,2,1,1,"1","1",476,"R",225,8,5,6,1,4
"61","sub033",18.231032125769,2,1,1,"0","0",293,"Jamovi",191,7,8,6,-2,7
"62","sub033",18.231032125769,2,1,1,"0","0",293,"R",288,6,6,4,-2,7
"63","sub034",17.933014354067,2,1,1,"1","0",193,"Jamovi",91,6,6,4,-2,3
"64","sub034",17.933014354067,2,1,1,"1","0",193,"R",173,7,6,4,-2,3
"65","sub035",21.4764183185236,2,6,3,"1","1",347,"Jamovi",161,3,3,6,3,2
"66","sub035",21.4764183185236,2,6,3,"1","1",347,"R",265,3,4,8,4,3
"67","sub036",18.0505809979494,1,1,1,"1","1",198,"Jamovi",112,5,5,5,0,2
"68","sub036",18.0505809979494,1,1,1,"1","1",198,"R",127,5,5,7,2,1
"69","sub037",19.4066985645933,2,6,2,"0","1",188,"Jamovi",150,5,5,5,0,3
"70","sub037",19.4066985645933,2,6,2,"0","1",188,"R",373,5,5,4,-1,5
"71","sub038",20.4347231715653,1,9,3,"1","1",174,"Jamovi",136,3,3,3,0,1
"72","sub038",20.4347231715653,1,9,3,"1","1",174,"R",270,4,4,3,-1,4
"73","sub039",20.0464798359535,1,9,2,"0","1",212,"Jamovi",78,6,8,9,1,3
"74","sub039",20.0464798359535,1,9,2,"0","1",212,"R",285,7,7,5,-2,5
"75","sub040",21.3151059466849,1,4,4,"1","0",284,"Jamovi",107,5,4,6,2,3
"76","sub040",21.3151059466849,1,4,4,"1","0",284,"R",358,5,5,6,1,4
"77","sub041",19.0704032809296,2,8,2,"0","0",192,"Jamovi",113,8,8,10,2,8
"78","sub041",19.0704032809296,2,8,2,"0","0",192,"R",198,9,10,10,0,9
"79","sub042",21.028024606972,1,7,3,"1","1",116,"Jamovi",102,6,6,5,-1,5
"80","sub042",21.028024606972,1,7,3,"1","1",116,"R",179,6,6,7,1,7
"81","sub043",19.917976760082,1,1,3,"0","0",247,"Jamovi",293,8,4,6,2,4
"82","sub043",19.917976760082,1,1,3,"0","0",247,"R",322,6,7,7,0,2
"83","sub044",18.149008885851,2,1,1,"1","0",121,"Jamovi",83,4,3,2,-1,NA
"84","sub044",18.149008885851,2,1,1,"1","0",121,"R",142,4,2,2,0,2
"85","sub045",18.4442925495557,1,1,1,"0","0",166,"Jamovi",92,8,5,5,0,3
"86","sub045",18.4442925495557,1,1,1,"0","0",166,"R",178,8,5,5,0,5
